Date,Description,Amount,Category,Subcategory
2026-03-25,Fresh Market 001,-42.00,Food & Dining,Groceries
2026-03-26,Neighbourhood Cafe 002,-6.65,Food & Dining,Restaurants
2026-03-27,Fuel Station 003,-67.00,Transportation,Fuel
2026-03-28,Video Streaming 004,-17.99,Subscriptions,Streaming
2026-03-29,Monthly Rent 005,-1500.00,Housing,Rent or Mortgage
2026-03-30,Community Pharmacy 006,-31.75,Health,Pharmacy
2026-03-31,Example Employer Payroll 007,2350.00,Income,Paycheque
2026-04-01,Savings Transfer 008,-450.00,Transfers,Account Transfer
2026-04-02,Home Supply Store 009,-27.00,Shopping,Household Items
2026-04-03,Cinema Tickets 010,-24.00,Entertainment,Movies
2026-04-04,Electric Utility 011,-106.80,Housing,Utilities
2026-04-05,Local Restaurant 012,-45.35,Food & Dining,Restaurants
2026-04-06,Fresh Market 013,-42.00,Food & Dining,Groceries
2026-04-07,Neighbourhood Cafe 014,-6.65,Food & Dining,Restaurants
2026-04-08,Fuel Station 015,-76.00,Transportation,Fuel
2026-04-09,Video Streaming 016,-17.99,Subscriptions,Streaming
2026-04-10,Monthly Rent 017,-1500.00,Housing,Rent or Mortgage
2026-04-11,Community Pharmacy 018,-26.25,Health,Pharmacy
2026-04-12,Example Employer Payroll 019,2350.00,Income,Paycheque
2026-04-13,Savings Transfer 020,-450.00,Transfers,Account Transfer
2026-04-14,Home Supply Store 021,-48.60,Shopping,Household Items
2026-04-15,Cinema Tickets 022,-24.00,Entertainment,Movies
2026-04-16,Electric Utility 023,-106.80,Housing,Utilities
2026-04-17,Local Restaurant 024,-60.05,Food & Dining,Restaurants
2026-04-18,Fresh Market 025,-42.00,Food & Dining,Groceries
2026-04-19,Neighbourhood Cafe 026,-6.65,Food & Dining,Restaurants
2026-04-20,Fuel Station 027,-62.50,Transportation,Fuel
2026-04-21,Video Streaming 028,-17.99,Subscriptions,Streaming
2026-04-22,Monthly Rent 029,-1500.00,Housing,Rent or Mortgage
2026-04-23,Community Pharmacy 030,-20.75,Health,Pharmacy
2026-04-24,Example Employer Payroll 031,2350.00,Income,Paycheque
2026-04-25,Savings Transfer 032,-450.00,Transfers,Account Transfer
2026-04-26,Home Supply Store 033,-27.00,Shopping,Household Items
2026-04-27,Cinema Tickets 034,-24.00,Entertainment,Movies
2026-04-28,Electric Utility 035,-106.80,Housing,Utilities
2026-04-29,Local Restaurant 036,-38.00,Food & Dining,Restaurants
2026-04-30,Fresh Market 037,-42.00,Food & Dining,Groceries
2026-05-01,Neighbourhood Cafe 038,-6.65,Food & Dining,Restaurants
2026-05-02,Fuel Station 039,-71.50,Transportation,Fuel
2026-05-03,Video Streaming 040,-17.99,Subscriptions,Streaming
2026-05-04,Monthly Rent 041,-1500.00,Housing,Rent or Mortgage
2026-05-05,Community Pharmacy 042,-34.50,Health,Pharmacy
2026-05-06,Example Employer Payroll 043,2350.00,Income,Paycheque
2026-05-07,Savings Transfer 044,-450.00,Transfers,Account Transfer
2026-05-08,Home Supply Store 045,-48.60,Shopping,Household Items
2026-05-09,Cinema Tickets 046,-24.00,Entertainment,Movies
2026-05-10,Electric Utility 047,-106.80,Housing,Utilities
2026-05-11,Local Restaurant 048,-52.70,Food & Dining,Restaurants
2026-05-12,Fresh Market 049,-42.00,Food & Dining,Groceries
2026-05-13,Neighbourhood Cafe 050,-6.65,Food & Dining,Restaurants
2026-05-14,Fuel Station 051,-58.00,Transportation,Fuel
2026-05-15,Video Streaming 052,-17.99,Subscriptions,Streaming
2026-05-16,Monthly Rent 053,-1500.00,Housing,Rent or Mortgage
2026-05-17,Community Pharmacy 054,-29.00,Health,Pharmacy
2026-05-18,Example Employer Payroll 055,2350.00,Income,Paycheque
2026-05-19,Savings Transfer 056,-450.00,Transfers,Account Transfer
2026-05-20,Home Supply Store 057,-27.00,Shopping,Household Items
2026-05-21,Cinema Tickets 058,-24.00,Entertainment,Movies
2026-05-22,Electric Utility 059,-106.80,Housing,Utilities
2026-05-23,Local Restaurant 060,-67.40,Food & Dining,Restaurants
2026-05-24,Fresh Market 061,-42.00,Food & Dining,Groceries
2026-05-25,Neighbourhood Cafe 062,-6.65,Food & Dining,Restaurants
